PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;PT;P6016;P3271;P6040;P6030S1;P6030S3;P6050;P6083;P6083S1;P6081;P6081S1;P2057;P2059;P2061;P6080;P6080S1;P6080S1A1;P6070;P6071;P6071S1;P6090;P6100;P6110;P6120;P1906S1;P1906S2;P1906S3;P1906S4;P1906S5;P1906S6;P1906S7;P1906S8;P6160;P6170;P3041;P3042;P3042S1;P3042S2;P3043;P3043S1;P3038;P3039;POB_MAY18
20251040;10;2025;8376893;1;2;1;10;54;1;542.94017142;54;1;2;1;9;12;2015;3;1;1;2;;2;2;2;6;;;;;;1;3;;;4;4;3;4;4;4;4;4;1;1;1;3;1;;;;;;
20251040;10;2025;8376894;1;1;1;10;54;1;249.55688307;54;1;1;2;60;1;1965;1;3;;3;;2;1;2;6;;;2;1;2;1;1;5;;3;4;3;3;3;4;4;4;1;2;;4;2;;;;1;2;1
20251040;10;2025;8376894;1;2;1;10;54;1;249.55688307;54;1;2;1;65;6;1960;2;3;;3;;2;2;2;6;;;2;1;1;1;1;5;;4;4;3;4;4;4;4;4;1;2;;3;2;;;;2;1;1
20251040;10;2025;8376895;1;1;1;10;54;1;719.59306311;54;1;1;1;50;6;1975;1;2;;3;;1;;2;6;;;6;;;1;3;;;4;4;3;4;4;4;4;4;1;2;;3;5;;;;2;1;1
20251040;10;2025;8376895;1;2;1;10;54;1;719.59306311;54;1;2;1;41;3;1984;6;2;;3;;2;2;2;6;;;1;1;3;2;;;;4;4;4;4;4;4;4;4;1;2;;3;5;;;;2;1;1
20251040;10;2025;8376895;1;3;1;10;54;1;719.59306311;54;1;3;2;43;12;1981;9;2;;2;;2;2;2;6;;;1;1;2;1;3;;;4;4;4;4;4;4;4;4;1;2;;3;5;;;;1;2;1
20251040;10;2025;8376896;1;1;1;10;54;1;365.64405816;54;1;1;1;69;4;1956;1;3;;3;;1;;2;6;;;3;1;2;1;3;;;4;4;4;2;4;4;4;4;1;2;;4;3;;;;2;1;1
20251040;10;2025;8376896;1;2;1;10;54;1;365.64405816;54;1;2;2;66;5;1959;2;3;;3;;2;2;2;6;;;3;1;1;1;3;;;4;4;4;4;4;4;4;4;1;2;;3;5;;;;1;2;1
20251040;10;2025;8376896;1;3;1;10;54;1;365.64405816;54;1;3;1;34;10;1990;3;1;2;1;1;2;2;2;6;;;6;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;2;1;1
20251040;10;2025;8376896;1;4;1;10;54;1;365.64405816;54;1;4;1;40;6;1985;3;1;2;1;1;2;2;2;6;;;4;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;2;1;1
20251040;10;2025;8376896;1;5;1;10;54;1;365.64405816;54;1;5;2;21;5;2004;8;2;;1;4;2;2;2;6;;;6;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;4;4;;;;1;2;1
20251040;10;2025;8376896;1;6;1;10;54;1;365.64405816;54;1;6;2;18;10;2006;8;2;;1;4;2;2;2;6;;;6;;;1;3;;;4;4;4;1;4;3;1;4;1;2;;4;4;;;;1;2;1
20251040;10;2025;8376896;1;7;1;10;54;1;365.64405816;54;1;1;1;3;9;2022;8;2;;2;;2;2;2;6;;;;;;1;3;;;4;4;4;4;4;4;4;4;2;2;;1;0;;;;;;
20251040;10;2025;8376897;1;1;1;10;54;1;583.33787572;54;1;1;1;33;8;1992;1;2;;2;;2;2;2;6;;;4;;;1;1;1;56840;4;4;4;4;4;4;4;4;1;2;;8;4;715;5;715;2;1;1
20251040;10;2025;8376897;1;2;1;10;54;1;583.33787572;54;1;1;1;8;6;2017;3;2;;1;1;2;2;2;6;;;;;;1;1;5;;4;4;4;4;4;4;4;4;1;1;1;3;1;;;;;;
20251040;10;2025;8376898;1;1;1;10;54;1;724.12230202;54;1;1;1;47;1;1978;1;2;;3;;1;;2;6;;;3;1;2;1;3;;;4;4;4;2;4;4;4;4;1;2;;3;2;;;;2;1;1
20251040;10;2025;8376898;1;2;1;10;54;1;724.12230202;54;1;2;2;49;9;1976;2;3;;2;;1;;2;6;;;3;1;1;1;3;;;4;4;4;4;4;4;4;4;1;2;;3;1;;;;1;2;1
20251040;10;2025;8376898;1;3;1;10;54;1;724.12230202;54;1;3;1;20;1;2005;3;1;2;1;1;2;2;2;6;;;6;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;4;4;;;;2;1;1
20251040;10;2025;8376898;1;4;1;10;54;1;724.12230202;54;1;4;2;23;10;2001;3;1;2;1;1;2;2;2;6;;;4;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;6;2;;3;;1;2;1
20251040;10;2025;8376898;1;5;1;10;54;1;724.12230202;54;1;4;1;1;6;2024;8;1;4;2;;2;2;2;6;;;;;;1;3;;;4;4;4;4;4;4;4;4;;;;;;;;;;;
20251040;10;2025;8376899;1;1;1;10;54;1;432.56526398;54;1;1;1;69;11;1955;1;3;;3;;2;1;1;5;;;3;1;2;1;3;;;3;3;2;3;3;4;4;4;1;2;;10;10;111;7;111;2;1;1
20251040;10;2025;8376899;1;2;1;10;54;1;432.56526398;54;1;2;2;60;6;1965;2;2;;3;;2;2;2;6;;;3;1;1;2;;;;4;4;4;4;4;4;4;4;1;2;;3;5;;;;1;2;1
20251040;10;2025;8376900;1;1;1;10;54;1;584.28490565;54;1;1;1;49;10;1975;1;3;;3;;1;;2;6;;;2;1;2;1;3;;;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;2;1;1
20251040;10;2025;8376900;1;2;1;10;54;1;584.28490565;54;1;2;2;42;10;1982;2;2;;3;;2;2;2;6;;;2;1;1;1;3;;;4;4;4;4;4;4;4;4;1;2;;4;2;;;;1;2;1
20251040;10;2025;8376900;1;3;1;10;54;1;584.28490565;54;1;3;2;21;11;2003;3;1;2;2;;2;2;2;6;;;6;;;1;3;;;4;4;3;4;4;4;4;4;1;2;;5;2;;2;;1;2;1
20251040;10;2025;8376901;1;1;1;10;54;1;351.69801065;54;1;1;1;70;1;1955;1;3;;3;;2;2;2;6;;;2;2;;1;3;;;4;4;4;3;4;4;4;4;1;2;;3;3;;;;2;1;1
